Basque (eu),Spanish (es)
"Unibertsitateak eskainiko dituen titulazio berriak diseinatzean oso kontuan hartu da prestakuntza, eta batez ere enpresetako praktikak, Carlos Garcíak esan duen bezala: “Mekatronika Gradua lau urteko ingeniaritza bat da, eredu dualekoa; bigarren eta hirugarren urtean praktikak egingo dira enpresetan, eta laugarren urtean, berriz, gradu amaierako proiektua egingo da oso-osorik enpresan.","El diseño de las nuevas titulaciones que impartirá esta universidad se centra en la formación, pero de manera especial en las prácticas en las empresas, como recalca Carlos García: “En el caso del Grado de Mecatrónica se trata de una ingeniería de cuatro años, con modelo dual, en el que el segundo y tercer año hay prácticas en empresas y el cuarto año se realiza un proyecto de fin de grado íntegro en la empresa."
"Espezializazioa sektorean Kontratu hauek DANOBATGROUPek azken urteotan sektorean espezializatzeko egin duen apustuaren emaitza dira, bai eta balio erantsi handiagoa eskaintzeko egindako apustuaren ondorioa ere, makinetan ez ezik honelako instalazioak diseinatu, integratu eta martxan jartzeko egindako ingeniaritza lan handian ere ikusten dena.","Estos contratos son el resultado de la apuesta por la especialización sectorial que DANOBATGROUP ha venido realizando durante los últimos años, y son también consecuencia de una apuesta por una oferta de mayor valor añadido que, no solo incorpora máquinas, sino que también incluye un importante trabajo de ingeniería para el diseño, integración y puesta en marcha de estas instalaciones."
CoDI DA ESKARIAREN ARABERAKO INGENIARITZA-PROZESUA EGI BIHURTUKO DUEN SOFTWAREA,CoDI ES EL SOFTWARE QUE HARÁ REALIDAD LA AUTOMATIZACIÓN DEL PROCESO DE INGENIERÍA BAJO PEDIDO
"Bertan, arazoetan eta proiektuetan oinarrituriko ikaskuntzako esperientziak partekatuko dira, ingeniaritzako prestakuntzaren ildoak finkatzeko. Arazoetan eta proiektuetan oinarrituriko ikaskuntzak (PBL) benetako bizitzan oinarrituriko arazoei konponbidea aurkitzeko lantaldeen arteko lankidetzaren aldeko apustua egiten du.","El acto, que tendrá lugar en el campus de Donostialdea de la universidad (Orona Ideo), busca compartir experiencias sobre el Aprendizaje Basado en Problemas y Proyectos para marcar directrices en la formación en ingeniería."
Hasiera/ Ikasketak/ Graduondoa/ Graduondo eskaintza ofiziala/ Unibertsitateko Masterraren titulu ofizialak / Telekomunikazio eta Industria Ingeniarien Goi Mailako Eskola Teknikoa/ Unibertsitate Masterra Informatikako Ingeniaritzan,Portada/ Escuela Técnica Superior de Ingenieros Industriales y de Telecomunicación/ Estudios/ Grado/ Grado en Ingeniería Mecánica/ Períodos de evaluación
... zatoz IMH Ingeniaritza Eskola ezagutzera,... ven y conoce la Escuela de Ingeniería IMH
"Masterrean zuzenean sar daitezke Informatika-Ingeniaritzak graduatuak, eta informatika arloko antzeko graduetakoak, batere kreditu osagarririk gabe.","El Máster está abierto sin ningún requisito previo a las personas tituladas en el grado en Ingeniería Informática y similares, y a tituladas en grados afines tras cursar créditos adicionales."
Ongi etorri Txandakako IMH Ingeniaritza Eskolara,Bienvenida/o a la Escuela de Ingeniería IMH en Alternancia
- China Föd elektrikoa Ingeniaritza,"- China, Fod Ingeniería Eléctrica"
"Halatan, Josu Galarza Mondragon Goi Eskola Politeknikoko Ingeniaritzako koordinatzaileak jardunaldia ireki ondoren, automozio-sektoreko eta Colour&Trim diziplinako bi adituen txostenak aurkeztu dira. Diziplina horren helburua erabiltzaileen alde emozionala erakarriko duten proposamen berritzaileak lortzea da, koloreak, testurak eta materialak konbinatuz.","Así, tras la apertura de la jornada a cargo de Josu Galarza, coordinador de Ingeniería de Mondragon Goi Eskola Politeknikoa han tenido lugar dos ponencias a cargo de expertos en el sector de la automoción y en la disciplina Colour &Trim, una disciplina que busca conseguir propuestas innovadoras que atraigan a nuestro yo emocional mediante la combinación de colores, texturas y materiales diferentes."
IMH Heziketa Ziklo eta Ingeniaritza Eskolako Ate Irekiak,"Puertas ELGOIBAR Escuela de Ingeniería IMH, Jornada de Puertas abiertas"
Ingeniería Eléctrica y Electrónica - Ingeniaritza Elektriko eta Elektronikoa Saila,Grado en Ingeniería Eléctrica y Electrónica Ingeniería Biomédica Ingeniería Eléctrica y Electrónica
Txandakako IMH Ingeniaritza Eskolak prestakuntza akademikoaren eta enpresan ematen den kontratudun lanaren arteko alternantzian oinarritutako ingeniaritzako ikasketa unibertsitarioak eskaintzen ditu.,La Escuela de Ingeniería IMH en Alternancia ofrece unos estudios de nivel superior de ingeniería basados en la alternancia entre la formación académica y el trabajo con contrato en una empresa.
"Arkitekturan eta Ingeniaritzan, emakumezko ikasleen proportzioa % 25ekoa da, eta titulazio batzuetan parekotasunetik hurbil egon arren, 18 titulazioetatik 9tan maskulinizazioa erabatekoa da, 2 emakume baino gutxiago baitago 10 ikasleko.","En Arquitectura e Ingeniería la proporción de alumnas está en el 25% y a pesar de que varias de las titulaciones se acercan al principio de paridad, todavía 9 de las 18 titulaciones están completamente masculinizadas con menos de 2 alumnas por cada 10."
"Fabrikazio gehigarria: ingeniaritza-zerbitzuak eta hasierako kontzeptua, diseinua eta ekoizpena, aholkularitza enpresa baten laguntzarekin.","Fabricación aditiva: servicios de ingeniería y consultoría para el acompañamiento desde la concepción inicial y el diseño, hasta la producción."
Industria Diseinuko eta Produktu Garapeneko Ingeniaritza Gradura egokitzeko ikastaroa,Curso de Adaptación Grado en Ingeniería en Informática
Beatriz de Rivas (Ingeniaritza Kimikoa),Beatriz de Rivas (Ingeniería Química)
Gradu Bikoitz hau bukatzen duzunean Ingeniaritza Mekanikoko Graduaren eta Enpresen Administrazio eta Zuzendaritzako Graduaren gaitasunak eskuratuko dituzu.,Al finalizar este Doble Grado habrás adquirido las competencias del Grado en Ingeniería Mecánica y del Grado en Administración y Dirección de Empresas.
"Toulousseko Paul Sabattierde unibertsitatean goi mailako ingeniaritza informatikoa ikasten zuen bitartean, Ikaskutza eta Ikerketa Aeroespazial Erakundeen barne dagoen CERT Ikerkuntza Zentruan dartu zen.","Mientras estudiaba Ingeniería Superior Informática en la Universidad Paul Sebattier de Toulosse, se integró como investigadora en el centro de investigación C.E.R.T. enmarcado en la Organización de Estudios e Investigaciones Aeroespaciales."
Hirugarren maila: konputagailuen ingeniaritza,Tercer curso: ingeniería de computadores
"Komunikazioen Ingeniaritza Saila, Euskal Herriko Unibertsitatea, UPV/EHU.","Departamento de Ingeniería de Comunicaciones, Universidad del País Vasco UPV/EHU."
"Teknologia handiko ingeniaritza, prototipatzea eta kalitatezko kable pertsonalizatua ASSY fabrikatzeko tradizioa garatu dugu prezio lehiakorrean.","Hemos desarrollado una tradición de ingeniería de alta tecnología, creación de prototipos y calidad de fabricación de cables a medida a precios muy competitivos."
"Aeronautika, Automobilgintza, Ekipamendu-ondasunak, Metalezko eraikuntzak, Energia & utilities, Tren-industria, Ingeniaritzak, Makina-erreminta, Ontzigintza, Petrokimikoa, Burdingintza, Garraioa eta azpiegiturak, Ur- eta hondakin-tratamendua, bai eta banaketa-kanal guztiak ere, hala nola Industria-hornikuntzako biltegiak, Burdindegien kooperatibak edo Erosketa-taldeak, besteak beste.","Aeronáutica, Automoción, Bienes de equipo, Construcciones metálica, Energía & utilities, Ferroviario, Ingenierías, Máquina-herramienta, Naval, Petroquímico, Siderurgia, Transporte & infraestructuras, Tratamiento de aguas y residuos, así como todos los canales de distribución como Almacenes de suministros industriales, Cooperativas ferreteras, Grupos de compra, entre otros. RELACIÓN DE FIRMAS EXPOSITORAS"
"Hautazkoei esker, ikasleak ingeniaritza mekanikoaren adarretan espezializatu daitezke. Parte-hartzaileak:",El máster tiene una optatividad suficiente como para el alumno se especialice en las diferentes ramas de la ingeniería mecánica.
"Horren ondoren, Purdue Unibertsitatean izena eman zuen eta Ingeniaritza aeronautikoa ikasteari ekin zion.","En 1947, con diecisiete años, Armstrong comenzó a estudiar ingeniería aeronáutica en la Universidad Purdue."
Proceedings Scholar Metrics 2017: Informatika eta ingeniaritzazko kongresuen H Indizea Google Scholar Metrics-en arabera (2012-2016) Gora,Proceedings Scholar Metrics 2017: Índice H de congresos de informática e ingeniería según Google Scholar Metrics (2012-2016) Arriba
ILUNBE - Energia ingeniaritza proiektuak,ILUNBE - Proyectos de ingeniería energética
Graduak Informatikako Ingeniaritza Informatikako Ingeniaritza + Enpresaren Egutegia eta ordutegiak,Grados Ingeniería Informática Ingeniería Informática + Transformación Digital de la Empresa
"""Zer aipatuko zenuke labur Ingeniaritzari buruz?""","""¿Qué destacarías brevemente acerca de la Ingeniería Dual?"""
Proiektuen kudeaketa Geomatika eta Topografia Ingeniaritzan Jardunaldia,Grado en Ingeniería Geomática y Topografía en la geoinformación
- Nazioarteko Programa Industria Teknologietako Ingeniaritzan,- Ingeniería en Tecnologías Industriales (programa internacional)
"UPV/EHU, Lleidako Unibertsitateak eta eta IMHko Ingeniaritza Dualaren Unibertsitate Eskolak kongresu hau antolatu nahi izan dugu, unibertsitate mailako formakuntza dualaren inguruko hausnarketarako guneak sortu, elkarlana sustatu eta sarean lan egiteko.","Los expertos Frédéric Sauvage y Bernd Bachert han participado en el I Congreso Internacional sobre Formación Universitaria organizado por la UPV/EHU y la Universidad de Lleida en colaboración con el IMH, celebrado en San Sebastián el 17 de junio de 2019."
"Hala ere, hor sakontzean, ikusi nuen gaia ez zela bakarrik zenbat emakume dauden zientzian edo ingeniaritzan, baizik eta hor bazegoela gogoeta bat zientziaren ezaugarriei buruz, eta hor buru-belarri sartu nintzen.","Al profundizar en estos temas, vi que no solo se trataba de ver cuántas mujeres se movían en la ciencia o la ingeniería, sino que era necesaria una reflexión sobre el carácter de la ciencia, y me volqué en esos temas."
Informatikako Ingeniaritza Teknikoa Gradura egokitzeko ikastaroa lan-esperientzia duten profesionalentzat bereziki antolatutako ikastaroa da.,El curso de adaptación de Ingeniería Técnica en Informática a grado es un curso específico para profesionales con experiencia laboral que te permite:
MIKEL AGIRREGABIRIA Fisika teorialaria; Ingeniaritza Industrialean eta Informatikan ikasketa aurreratuak ditu eta masterra du Museolaritzan....,"Natalia teórico, con estudios avanzados de Ingeniería Industrial e Informática, así como experto y máster en..."
Mekatronika eta doitasun-ingeniaritza,Mecatrónica e ingeniería de precisión
"Emakumeen presentzia nabarmena izan zen lizentziaturetan (%64) eta diplomaturetan (%71) eta gizonezkoena, berriz, arkitektura eta ingeniaritza ikasketetan (%66) eta arkitektura eta ingeniaritza teknikoetan (%73).","La presencia de las mujeres fue mayoritaria en los estudios de licenciatura (64%) y diplomatura (71%), en tanto que en los estudios de arquitectura e ingeniería y arquitectura e ingeniería técnica la presencia de los varones fue de un 66% y un 73%, respectivamente."
Informatikako Ingeniaritzako Unibertsitate Masterra,Investidura de graduados en Ingeniería
"Saileko irakasleak hurrengo lau jakintza arloetan banatzen dira: Fisika Aplikatua, Elektronika, Sistemen Ingeniaritza eta Automatika, eta Lengoaia eta Sistema Informatikoak.","Sus profesores están integrados en una de estas cuatro áreas de conocimiento: Física Aplicada, Electrónica, Ingeniería de Sistemas y Automática, Lenguajes y Sistemas Informáticos."
"Ingeniaritza elektriko - Wikipedia, entziklopedia askea.","Ingeniería eléctrica - Wikipedia, la enciclopedia libre"
"Kooperatiba gipuzkoarrak, lanak berrikusteaz gain, eraikuntza-ingeniaritzaren arloan garatu dituen zenbait soluzio gehitu dizkio proiektuari.","La cooperativa guipuzcoana, además de encargarse de supervisar la obra, también ha aportado al proyecto sus soluciones en ingeniería de construcción."
Informatikako Ingeniaritzako Unibertsitate Masterra,Máster Universitario en Auditoría de Cuentas
"Santiago Perez Hoyosek, EHUko Ingeniaritza Eskolako irakasle eta Planetaren Zientzietako Ikerketa Taldeko kideak, gako guztiak eman dizkigu Radio Euskadiko ""la Mecánica del Caracol"" saioan.","Santiago Pérez Hoyos, profesor de la Escuela de Ingeniería de la UPV/EHU y miembro del Grupo de Investigación en Ciencias Planetarias, nos ha dado todas las claves en el programa ""La Mecánica del Caracol"" de Radio Euskadi."
Ingeniaritza Zibileko ikasleek Amezagan gure lanari bisita egin diote | Viuda de Sainz Hasiera,Visita de los alumnos de Ingeniería Civil a nuestra obra en Amézola | Viuda de Sainz
Heziketa zentroak EHUko Ingeniaritza Kimiko Industrialaren ikasleek Petronor bisitatu dute,Centros educativos Alumnos de Ingeniería Química Industrial de la UPV visitan Petronor
Ingeniaritza Gradu Dualaren diploma banaketa ekitaldia,Acto de entrega de diplomas del Grado de Ingeniería Dual
"Diseinu kontzeptuala, 3D garapena eta ingeniaritza, prototipogintza eta azken industrializazioa.","Diseño conceptual, desarrollo 3d e ingeniería, prototipado e industrialización final."
"ECTS kopurua: 6,0 | Titulua: INDUSTRIA DISEINUKO ETA PRODUKTU GARAPENEKO INGENIARITZA GRA","ECTS: 6,0 | Título: GRADO EN INGENIERÍA EN DISEÑO INDUSTRIAL Y DESARROLLO DE PRODUCTO"
"Patricia Arangurenek Industria Ingeniaritza eta Masterra Ingeniaritza Mekaniko, Aplikatu eta Konputazionalean ikasi zituen Nafarroako Unibertsitate Publikoan.",Patricia Aranguren estudió en la Universidad Pública de Navarra Ingeniería Industrial y el Máster en Ingeniería Mecánica Aplicada y Computacional.
Hasiera › Ikasketak › Masterra › Unibertsitate Masterra Industria Ingeniaritzan,Inicio › Estudios › Máster › Máster Universitario en Ingeniería Industrial
Bisitatu Deustuko Unibertsitateko Ingeniaritza Fakultatea,Visita la Facultad de Ingeniería de la Universidad de Deusto
