Basque (eu),Spanish (es),Spanish_Translation
Ate irekiak: Txandakako IMH Ingeniaritza Eskola (gradu berria),Puertas abiertas: Escuela de Ingeniería IMH en Alternancia (nuevo grado),Puertas abiertas: Escuela de Ingeniería IMH de Turno (nuevo grado)
"Arlo honetan APEC-eko (Irango Petrolio, ingeniaritza eta eraikitzaile enpresen Elkartea) Idazkari Nagusiaren parte-hartzea nabarmenduko da, “Perspectivas de negocio en Irán” (Negozio Ikusmoldeak Iranen) gaiari buruz jardungo den saioan.","En este apartado destacará la participación del Secretario General de APEC, Asociación Iraní para la Industria Petrolera, Ingenierías y Empresas Constructoras, en la sesión dedicada a “Perspectivas de negocio en Irán”.","En este ámbito se destacará la participación del Secretario General del APEC (Asociación de empresas petroleras, ingenierías y constructoras de Irán) en la sesión sobre Perspectivas de negocio en Irán19 (Negocio Irán)."
2014ko urtarrilean defendatutako tesiak: Ingeniaritza eta Teknologia,Tesis defendidas en noviembre de 2014: Ingeniería y Tecnología,Tesis defendidas en enero de 2014: Ingeniería y Tecnología
"Ingeniaritza Automatikoan, Elektronikoan edo Elektrizitatean Doktorea eta potentzia elektronikan, energia biltegiratzean, sare elektrikoetan, bihurgailuetan… ezagutza duena.","Doctor Ingeniero/a en Automática, en Electrónica, en Electricidad con conocimientos en electrónica de potencia, almacenamiento de energía, redes eléctricas, convertidores, …","Doctor en Ingeniería Automática, Electrónica o Electricidad y con conocimiento de potencia electrónica, almacenamiento de energía, redes eléctricas, conversiones..."
Informatika Ingeniaritzako Gradua - Praktikak - UPV/EHU,Grado en Ingeniería Informática - Prácticas - UPV/EHU,Grado en Ingeniería Informática - Prácticas - UPV/EHU
Genetika molekularra Ingeniaritza genetikoa,Ingeniería genética[editar],Genética molecular Ingeniería genética
Zoritxarrez elkar ulertze hau ez da beti lortzen eta atzo Bilboko Ingeniaritza Eskolan gertatukoa dugu horren adibide.,"Desgraciadamente, no siempre se consigue el suficiente acuerdo y lo ocurrido ayer en la Escuela de Ingeniería de Bilbao es un ejemplo de ello.","Desgraciadamente, este entendimiento no siempre se consigue, y lo que ocurre ayer en la Escuela de Ingeniería de Bilbao es un ejemplo de ello."
"Ikerketa, ingeniaritzako kalkulu eta saiakuntza askoren ondoren iritsi zen produktuaren birformulazioa.","Después de varios estudios, cálculos de ingeniería y varios ensayos, llegó la reformulación del producto.","La reformulación del producto llegó tras muchos estudios, cálculos y ensayos de ingeniería."
· Diseinurako laguntza eta ingeniaritzako laguntza,· Asistencia de diseño y soporte de ingeniería,· Apoyo en el diseño y en la ingeniería
Lantegia: IKTak enpresaren zerbitzura: Informatikako Ingeniaritza enpresa munduan nola inplementatzen den ulertuko duzu.,Taller de Empresa Digital: Entenderás cómo se implementa e integra el trabajo de la Ingeniería Informática en el mundo empresarial.,Taller: Las TIC al servicio de la empresa: Entenderás cómo se implementa la empresa de Ingeniería Informática.
"Egutegia, ordutegia eta azterketa egunak Informatikako Ingeniaritza","Calendario, horarios y fechas de exámenes Ingeniería en Tecnologías Industriales","Calendario, horarios y exámenes Fechas de Ingeniería Informática"
"Iragarpen guztien aurka, Mondragon Unibertsitateko Ingeniaritzako ikasleak atera ziren garaile, EHUko eta Deustuko Zuzenbideko ikasleen aurretik, hurrenez hurren.","Los ganadores fueron los alumnos de Ingeniería de Mondragon Unibertsitatea contra todo pronóstico, seguido de la EHU-UPV y los alumnos de Derecho de Deusto.","En contra de todas las predicciones, los alumnos de Ingeniería de Mondragon Unibertsitatea ganaron antes de los alumnos de la UPV y del Derecho de Deusto, respectivamente."
"Diziplina zientifikoetan, eskualde guztiek ingeniaritza eta teknologiara bideratzen dituzte baliabideak, Arabako mendialdean izan ezik, non %100 zientzia mediko eta farmazeutikoetara joaten den.","En cuanto a las disciplinas científicas, todas las comarcas dedican mayoritariamente sus recursos a la ingeniería y tecnología, excepto la Montaña Alavesa que dedica el 100% a las ciencias médicas y farmacéuticas.","En las disciplinas científicas, todas las regiones destinan recursos a la ingeniería y tecnología, excepto en la Montaña Alavesa, donde el 100% acude a ciencias médicas y farmacéuticas."
"Sektorea finkatzea eta haztea lortzeari begira, ezinbestekoa da baliabide teknikoen eta giza baliabideen sostengua ematea. Horretarako, 2015ean Bic Gipuzkoaren parte gisa sortzen da Bioteknologiaren, Bioingeniaritzaren eta Osasunaren sektorerako inkubagailu espezializatua, lan-sistematika adituaren eta sarekoaren inguruko balio-proposamenarekin, inkubazio aurreko, inkubazioko zein inkubazio ondoko faseetara bideratua. Bioinkubagailuaren ikuspegiak eta misioak biozientziei ahalik eta zientzia- eta enpresa-potentzial guztia ateratzea dute ardatz.","El sector de la biotecnología está en una fase de crecimiento importante, si bien para el afianzamiento y el crecimiento del sector es necesario un apoyo en medios técnicos y humanos. Con ese objetivo se ha creado una incubadora especializada para el sector de la Biotecnología, Bioingeniería y la Salud que permita la transferencia de conocimiento desde universidades, centros tecnológicos, empresas, etc. apoyando la creación de nuevas empresas del sector de la biotecnología y permitiendo, a su vez, la diversificación del tejido industrial guipuzcoano, principalmente de sectores industriales a nuevas líneas de negocio relacionadas con la biociencia y biotecnología, contribuyendo al afianzamiento y al aumento del crecimiento del sector.","De cara a la consolidación y crecimiento del sector, es imprescindible el apoyo de los recursos técnicos y humanos, para lo cual en 2015 surge como parte de Bic Gipuzkoa una incubadora especializada para el sector de Biotecnología, Bioingeniería y Salud, con una propuesta de valor sobre la sistemática de trabajo y la red orientada a las fases previas a la incubación, incubación o incubación."
"Mª Fé Rivas, Bilboko Ingeniaritza Goi Eskola Teknikoko Liburutegiko laguntzailea. Alcira Macias, Liburutegira egokitutako teknologia berrien arloko arduraduna,","Mª Fe Rivas, Ayudante de la Biblioteca de la Escuela Técnica Superior de Ingeniería de Macias, Jefa de área de nuevas tecnologías aplicadas a la biblioteca,","Ma Fé Rivas, asistente de la Biblioteca de la Escuela Técnica Superior de Ingeniería de Bilbao, Alcira Macias, responsable de las nuevas tecnologías adaptadas a la Biblioteca,"
"Inkoa ingeniaritza-enpresa bizkaitarrak nekazaritza-abeltzaintzako proiektu berritzaile baten esleipena lortu du Argentinan, nekazaritza-elikagaigintzako hamaika ikerketa zentro diseinatu, gauzatu eta abian jartzeko.","La ingeniería vizcaína Inkoa se ha adjudicado un proyecto de innovación agropecuaria que consiste en el diseño, ejecución y puesta en marcha de once centros de investigación agroalimentaria en Argentina.","Inkoa, empresa de ingeniería vizcaína, ha conseguido la adjudicación en Argentina de un proyecto innovador de agricultura-ganadería para diseñar, ejecutar y poner en marcha numerosos centros de investigación agroalimentario."
"EAZko Gradua, Deustuko berezko tituluekin eta Zuzenbideko, Industria Teknologien Ingenieritzako eta Informatikako Ingeniaritzako Gradu Ofizialekin konbinatzeko aukera izango duzu.","Podrás combinar el Grado de ADE con diferentes títulos propios y Grados oficiales como Derecho, Ingeniería en Tecnologías Industriales e Ingeniería Informática. Másteres Formación Ejecutiva","Podrá combinar el Grado en C.A.E. con títulos propios de Deusto y Grados Oficiales en Ingeniería en Derecho, Tecnologías Industriales e Informática."
UPV/EHUri atxikituta dagoen Elgoibarko IMHren Txandakako Ingeniaritza Eskolaren ikasturte hasiera,"Inicio curso en la Escuela de Ingeniería en Alternancia del IMH de Elgoibar, adscrito a la UPV/EHU","Comienzo de curso de la Escuela de Ingeniería Turnológica del IMH de Elgoibar, adscrita a la UPV/EHU"
"Biltzarra materialen eta osagaien fabrikatzaileei, fatxada egileei, arkitektura eta ingeniaritza estudioei eta I+G erakundeei zuzenduta dago.","El Congreso va dirigido a fabricantes de materiales y componentes, fachadistas, a estudios de arquitectura e ingenierías y a entidades de I+D.","El congreso está dirigido a fabricantes de materiales y componentes, constructores de fachadas, estudios de arquitectura e ingeniería y instituciones de I+D."
Txandakako IMH Ingeniaritzako promozio berria martxan,Seminario inicial de la Ingeniería IMH en Alternancia,Nueva promoción de la Ingeniería IMH Turnográfica
"Bizkaiko campusean hamar fakultate eta unibertsitate-eskola daude eta hantxe prestatzen dira 23.000 ikasle. Lau zentro tekniko dauzka (Bilboko Ingeniaritza Goi Eskola Teknikoa, Nautika eta Itsasontzi-makineria Goi Eskola Teknikoa, Meatze eta Herri-lanen Ingeniaritza Teknikoko Unibertsitate Eskola eta Industri Ingeniaritza Teknikoko Bilboko Unibertsitate Eskola); ikastetxe horietan, honako graduak eskaintzen dira, besteak beste: Ingurumen-ingenieritza, Industria Antolakuntzaren Ingeniaritza, Industria-teknologiaren Ingeniaritza, Telekomunikazioaren Ingeniaritza Teknikoa, Industria Elektronikaren eta Automatikaren Ingeniaritza eta Kudeaketaren eta Informazio-sistemen Ingeniaritza Informatikoa.","Formula Student Bizkaia es una iniciativa que permite al alumnado universitario aprender, diseñando y fabricando un prototipo de vehículo de alta competición en condiciones reales de mercado, y este año está formado por cuarenta alumnos y alumnas de la Escuela de Ingeniería de Bilbao, de ellos, la mitad estudia el Grado en Tecnología Industrial y los otros 20 se reparten entre los grados en Ingeniería Mecánica, Ingeniería en Electrónica Industrial y Automática, Ingeniería Eléctrica, Organización Industrial e Ingeniería de Telecomunicación y los másteres de Ingeniería Industrial, en Telecomunicaciones, Ingeniería de Control, Automatización, Robótica y en Ingeniería Mecánica.","En el campus de Bizkaia hay diez facultades y escuelas universitarias, donde se preparan 23.000 alumnos (Escuela Técnica Superior de Ingeniería de Bilbao, Escuela Técnica Superior de Náutica y Máquinas Navales, Escuela Universitaria de Ingeniería Técnica de Minas y de Obras Públicas y Escuela Universitaria de Ingeniería Técnica Industrial de Bilbao), en los que se ofrecen, entre otros, los siguientes grados: Ingeniería Ambiental, Ingeniería en Organización Industrial, Ingeniería en Tecnología Industrial, Ingeniería Técnica de Telecomunicaciones, Ingeniería Electrónica Industrial y Automática y Ingeniería Informática de Gestión y Sistemas de Información."
"Izena emateko edo informazio gehiago lortzeko idatzi hemen, deitu 943748284 telefonora (Leire Alberdi) edo bidali mezua ingeniaritza.ehu@imh.eus helbidera 1.","Para inscripciones y más información, escribe aquí, llama al 943748264 (Leire Alberdi) o envía un mensaje a ingeniaritza.ehu@imh.eus 1.","Para apuntarse o obtener más información, escribir aquí, llamar al 943748284 (Leire Alberdi) o enviar un mensaje a ingeniería.ehu@imh.eus 1."
Industria Ingeniaritza/Ingeniaritzako Gradua,Grado en Ingeniería Eléctrica,Grado en Ingeniería en Organización Industrial
Reingeniaritzaren jatorrizko bertsioa hiru ideia nagusitan oinarritzen zen: prozesu nagusiak (erakundearen inplikazioekin) erabat berdiseinatzea (orri zuri batetik hasita); informazioaren teknologia berriak prozesu berrien euskarri gisa txertatzea; eta aldaketaren berehalako implementazioa zuzendaritzak (top down) inposatuta.,La versión original de la reingeniería se basaba en tres ideas fundamentales: el rediseño radical (partiendo de una hoja en blanco) de los procesos clave (con sus implicaciones organizativas); la introducción de tecnologías de la información como soporte de los nuevos procesos; y la implementación rápida e impuesta por la dirección (top-down) del cambio.,La versión original de la reingeniería se basaba en tres ideas principales: la total rediseñación de los procesos principales (con implicaciones institucionales) desde una hoja blanca; la incorporación de las nuevas tecnologías de la información como soportes de nuevos procesos; y la implantación inmediata del cambio impuesta por la dirección (top down).
2015eko ekainean defendatutako tesiak: Ingeniaritza eta Teknologia,Tesis defendidas en junio de 2015: Ingeniería y Tecnología,Tesis defendidas en junio de 2015: Ingeniería y Tecnología
"Azalpenak, lanak, aplikazioko ariketak, hausnarketak eta baterako eztabaidek lagunduko diete ikasleei unibertsitateko gradudun horrek izan behar dituzten gaitasunak eta Informatikako Ingeniaritzako ezagutzak eta trebetasunak garatzen.","La realización de exposiciones, trabajos, ejercicios de aplicación… permitirán a los estudiantes desarrollar las necesarias competencias, conocimientos y destrezas propias de un graduado en Ingeniería Informática.","Explicaciónes, trabajos, ejercicios de aplicación, reflexiones y debates conjuntos ayudarán a los alumnos a desarrollar las competencias y habilidades de este graduado universitario en Ingeniería Informática."
"Testuinguru horretan sortua da STEM (Zientzia, Teknologia, Ingeniaritza eta Matematika, ingelesezko laburduraren arabera).","En este contexto nace el enfoque STEM (Ciencia, Tecnología, Ingeniería y Matemáticas, por sus siglas en inglés).","En este contexto surge STEM (ciencia, Tecnología, Ingeniería y Matemáticas, según abreviatura en inglés)."
